var_1,var_2,correlation
x129,x130,0.9497450462790689
x117,x127,0.949719828125072
x137,x212,0.9488657536296845
x205,x206,0.9474070155979332
x210,x211,0.947144770906025
x215,x216,0.9470613808441696
x192,x202,0.9455959340691771
x189,x190,0.9447466079173144
x127,x212,0.9441842994203962
x059,x073,0.9439888344211318
x224,x225,0.9433587152767745
x134,x135,0.9431417531861084
x144,x145,0.9429228306305141
x168,x173,0.942795852448145
x130,x139,0.9415925606800727
x203,x218,0.941409981513137
x220,x221,0.9411010462863791
x129,x140,0.9408820290612567
x131,x145,0.9405456613140226
x125,x126,0.9403125246018683
x002,x237,0.9396550838660953
x164,x165,0.9393281515514943
x137,x217,0.9387144313137632
x206,x215,0.9381398879461559
x216,x220,0.9378307096731682
x127,x142,0.9377164655178383
x265,x267,0.9374841151667799
x205,x216,0.9371508248362881
x140,x146,0.9363071539454556
x151,x153,0.9347180846778217
x293,x297,0.9346561686059947
x072,x074,0.9334227564164501
x121,x130,0.9331813972718513
x015,x017,0.9318383017875056
x140,x144,0.9317777327028457
x120,x131,0.9314605231413724
x196,x216,0.9313801207464938
x266,x267,0.9311363609522958
x195,x215,0.9296468875966357
x114,x116,0.9254837817764818
x121,x141,0.9251582578289665
x111,x130,0.9240047489900479
x120,x140,0.923401935371278
x206,x220,0.9220780522318123
x111,x141,0.9207246059803678
x127,x202,0.9205230880894953
x119,x139,0.9196569962977382
x139,x145,0.9195989793308886
x194,x195,0.9191244370936048
x194,x214,0.9190616726234053
x215,x221,0.918435952312107
x137,x138,0.9183094345344737
x007,x231,0.9182458150052338
x130,x146,0.9180471189882181
x064,x065,0.9176576826531248
x209,x210,0.9171417974797774
x020,x030,0.9168571792349924
x200,x201,0.9166632762618698
x004,x239,0.9161282951459506
x196,x205,0.9158393285612896
x127,x128,0.9153998315640172
x113,x188,0.9149387530956613
x214,x215,0.9149193065667508
x134,x136,0.9148238128645053
x127,x217,0.9138484926558936
x130,x144,0.9136686142920273
x120,x129,0.9133142651419005
x195,x206,0.9128829227435435
x117,x118,0.9127251518125261
x065,x073,0.9125377121042628
x142,x143,0.9118446218982739
x291,x296,0.9116714486500195
x119,x121,0.9115476758983547
x204,x205,0.9113449236591776
x142,x212,0.9112933816967899
x277,x278,0.9104326818352395
x139,x141,0.9101467752703001
x128,x137,0.9096861024041704
x138,x142,0.90902990032199
x114,x189,0.9088283271932919
x118,x138,0.908794486640981
x133,x208,0.9084028969209097
x134,x209,0.906334808669142
x129,x131,0.90627639261049
x119,x130,0.9058835382238075
x215,x219,0.9057573259134929
x158,x160,0.905690962667875
x117,x202,0.9055903004778378
x219,x220,0.9045048218446534
x205,x214,0.9043598519272805
x129,x145,0.9041007220752624
x204,x215,0.9026600209584414
x288,x290,0.9024213673680944
x117,x192,0.9020519789986262
x205,x221,0.9016152202111507
x129,x141,0.9010839121053781
x196,x221,0.9009710140622377
x121,x140,0.9006697362753673
x111,x119,0.900336050648842
x117,x137,0.9003297278764879
x042,x044,0.8994077562893071
x008,x232,0.8993737530943839
x120,x141,0.8992795868678608
x118,x119,0.8987941777498303
x113,x114,0.8985604935758085
x131,x139,0.8984976481339857
x127,x138,0.897540040197765
x193,x213,0.8975131451464385
x141,x144,0.8974786329784781
x186,x196,0.897447213449202
x144,x146,0.8970648488598407
x233,x234,0.8968478221884196
x195,x220,0.8965224732359436
x057,x242,0.8959546728473747
x031,x035,0.8940503815918793
x164,x166,0.8926799237081481
x128,x129,0.8924753775008558
x135,x210,0.8920852703619958
x111,x140,0.8915492197965347
x202,x217,0.8914470610962804
x138,x139,0.8913067223399733
x128,x142,0.8888365313677632
x121,x146,0.8882979402240535
x115,x190,0.887766442335991
x031,x036,0.8873079887247983
x143,x144,0.8871666784649557
x137,x143,0.8871502424907596
x036,x040,0.8869806024846741
x205,x219,0.8869042308989104
x111,x146,0.8868428167503
x195,x204,0.8857428143981725
x129,x138,0.8853986109100056
x117,x212,0.8853593797836251
x119,x144,0.8850828701869863
x137,x202,0.8847180006086802
x120,x145,0.8846894230323973
x196,x215,0.8843482794459231
x194,x219,0.8835928212044791
x214,x220,0.882533659973172
x118,x127,0.8818089605127187
x266,x289,0.8815211051842256
x195,x216,0.8811209800420632
x188,x189,0.8809315589078446
x120,x139,0.8807308415724243
x059,x064,0.8797532421928409
x293,x295,0.8782052402967347
x224,x226,0.8777562399917576
x237,x239,0.8776413544766959
x128,x139,0.8776289048927095
x138,x217,0.8769287452782065
x131,x144,0.8766334087721191
x143,x217,0.8765413180510431
x189,x191,0.8756671291117305
x119,x140,0.8739324235368201
x121,x145,0.8736892491384531
x139,x143,0.8733193895715257
x121,x129,0.8732813483987121
x116,x190,0.8722502445985114
x194,x205,0.8721630607399318
x164,x167,0.8699450390870292
x115,x189,0.8696244918755369
x139,x146,0.8693051648502506
x138,x144,0.8688345898196981
x136,x210,0.8680745357004929
x279,x292,0.8677961884713085
x118,x143,0.8676055141645782
x111,x145,0.867043389663159
x128,x212,0.8659078735100201
x273,x292,0.8656808929164806
x138,x212,0.8655035839981466
x293,x304,0.8654643049958747
x119,x131,0.8650726478882295
x204,x220,0.8637641021232919
x186,x206,0.8632716395721849
x114,x190,0.8626221965120037
x111,x129,0.8621162063119923
x117,x128,0.8617593378494794
x128,x217,0.8617002877314852
x196,x220,0.8611107055941692
x119,x128,0.8602643043398762
x116,x191,0.8601306382768588
x192,x212,0.8597977037074075
x209,x211,0.8597903795155926
x255,x256,0.8595774878854641
x129,x143,0.8595682933617419
x041,x057,0.8595549589812413
x127,x143,0.8574865756417962
x192,x193,0.8564561286256718
x129,x146,0.8554842039705566
x035,x040,0.8545667678529086
x195,x214,0.8529585085902004
x135,x209,0.852944038814904
x199,x200,0.8518802583652653
x258,x279,0.8515409835251695
x120,x146,0.8509513207626104
x034,x035,0.8494635884194106
x258,x273,0.8490910810885801
x128,x144,0.8485437011700407
x133,x134,0.8483880314718378
x118,x129,0.8475291581504665
x118,x193,0.8474402941604768
x120,x144,0.8472256007082167
x194,x196,0.8461281439373044
x136,x211,0.8459084398109351
x117,x142,0.8458723374654439
x203,x212,0.8452301886090856
x231,x232,0.8451927705298976
x118,x137,0.844974386414725
x291,x303,0.8440860330710054
x193,x218,0.8432033977918065
x134,x210,0.8431992515545529
x121,x139,0.8419810018593559
x115,x191,0.8418746209423112
x138,x213,0.8418735711214461
x214,x216,0.8418165497441578
x202,x203,0.8416259236749429
x118,x120,0.8413872302909488
x268,x293,0.8411679972172816
x193,x202,0.8404443473589559
x212,x213,0.8402937252881361
x195,x221,0.839900306514269
x213,x217,0.8397331869344714
x194,x215,0.839604583247443
x138,x140,0.8390110814226326
x128,x203,0.8383785784430611
x119,x141,0.8378029820792551
x193,x194,0.8377318619784029
x128,x130,0.8371278267124532
x216,x219,0.8361515788333843
x204,x206,0.8357330403953587
x007,x008,0.8353433105419338
x041,x058,0.8353220781617126
x117,x217,0.8350676551013395
x128,x213,0.8348789204878775
x116,x189,0.8341597633745254
x186,x216,0.8341120604531079
x113,x189,0.833775944759601
x130,x138,0.8336295736770316
x002,x004,0.8322862707025879
x119,x145,0.8321154778735611
x142,x202,0.831081500960166
x204,x216,0.8310660290072189
x143,x212,0.8307497439377565
x111,x139,0.8306744710374379
x206,x214,0.8296601423126517
x128,x202,0.8296427710723635
x113,x115,0.8285566660242359
x021,x224,0.8279284547249952
x219,x221,0.8279020474245541
x195,x219,0.8268032876790486
x119,x138,0.8262544692549998
x136,x209,0.8262350475061622
x135,x211,0.8251665407287863
x128,x140,0.8250455844300446
x002,x239,0.8245870959948028
x118,x202,0.8225992165435831
x140,x143,0.8223536324854258
x143,x145,0.8221583228310648
x203,x204,0.821782343097225
x127,x192,0.8209479903170085
x186,x195,0.8205789428253017
x267,x289,0.8197638693609279
x117,x138,0.8196157104701918
x118,x212,0.8195085176261165
x143,x213,0.8193629350497363
x203,x217,0.8184462723993362
x138,x203,0.8183788833788749
x213,x214,0.8183677628367164
x217,x218,0.8171047799338158
x204,x213,0.8166793565524574
x206,x219,0.8163537175721787
x208,x209,0.8159268070264488
x186,x221,0.8154384079603374
x121,x144,0.8152056784127244
x196,x204,0.8151590838926872
x118,x203,0.8149600301011303
x125,x200,0.8144262348443825
x143,x218,0.8138002570338523
x118,x142,0.8114706930199947
x004,x237,0.8112642771401873
x281,x292,0.8112358825566804
x185,x186,0.8107712685006121
x130,x136,0.8106635068039385
x120,x128,0.810446249352915
x118,x139,0.809560859489736
x214,x218,0.8088871301641121
x130,x143,0.8083767478711635
x130,x135,0.8072721645784837
x119,x194,0.8072548004567557
x114,x188,0.8064830194330006
x194,x203,0.8064207270096045
x218,x219,0.8057839853186304
x214,x221,0.8057255879104819
x111,x144,0.8055541295705753
x137,x139,0.805089956323982
x138,x145,0.8036541625142031
x181,x185,0.8033344686999755
x138,x141,0.8020185212190407
x258,x281,0.8013096058850023
x118,x192,0.8009577492277021
x129,x137,0.8009365987693381
x138,x202,0.8004597379260903
x194,x206,0.8002527652609326
x133,x135,0.8002153510776113
x238,x239,0.8000346188700916
x127,x129,0.7997476327517135
x033,x034,0.7996370870207468
x114,x191,0.7993844423561176
x118,x121,0.7993753396579053
x203,x214,0.797830089809739
x136,x140,0.797705814773232
x131,x136,0.7972221014444041
x193,x212,0.7966638001877979
x138,x218,0.7962079636739849
x128,x131,0.7961629955849718
x064,x073,0.7959006817367335
x202,x213,0.7951584498584948
x118,x217,0.7950474752549231
x204,x218,0.7948970766174812
x194,x220,0.7943121129581693
x117,x193,0.7937466975412643
x118,x130,0.7933928498066772
x031,x040,0.793160924202793
x131,x138,0.7929124445390198
x110,x136,0.7926114943571679
x135,x140,0.7924851352605231
x139,x142,0.7924655397080937
x119,x143,0.7920141268277247
x117,x119,0.7914986174134823
x129,x134,0.7907626392356479
x205,x211,0.7899594497029868
x295,x304,0.7895868776358266
x110,x131,0.7895820107051176
x204,x221,0.7894706230360806
x128,x141,0.7892621610810687
x141,x143,0.7888792736385998
x016,x021,0.7887606889610541
x119,x146,0.7882839233095421
x289,x290,0.7878858217095192
x111,x118,0.7877830212149614
x142,x144,0.7877073520980814
x186,x205,0.7874545866121831
x129,x204,0.7870124886334308
x206,x211,0.7868051040070454
x143,x203,0.7861630204055061
x063,x064,0.7861287188236639
x007,x232,0.7857473915103652
x127,x139,0.7856079914149181
x015,x020,0.7855632831582555
x196,x214,0.7853505765266988
x139,x214,0.7845993630550507
x128,x145,0.7845396059692167
x106,x110,0.7843051305239257
x128,x193,0.7841002288911747
x213,x219,0.783966321218551
x133,x136,0.7838069590567605
x113,x116,0.7833035246603999
x136,x141,0.7821223539459166
x120,x138,0.7820241522150729
x110,x141,0.7806403704204076
x118,x213,0.7802921181827065
x129,x135,0.780198830210981
x129,x142,0.7799150670546432
x128,x218,0.7795602712895664
x129,x214,0.7793470008618452
x188,x190,0.7791032169261757
x134,x139,0.7784060934270365
x127,x203,0.7781232013394694
x205,x210,0.7779704004863509
x137,x213,0.777962801579459
x212,x218,0.7779522094085246
x143,x146,0.7779123820419216
x137,x144,0.7778833407333616
x193,x204,0.7778046574381429
x134,x211,0.7776244431060798
x117,x278,0.7775393822439651
x133,x209,0.7769398745007088
x126,x201,0.7766191789289563
x120,x136,0.7762080001034078
x226,x236,0.7754441468708658
x118,x144,0.7747319933676489
x119,x127,0.7745732419537606
x110,x130,0.774468829978862
x139,x204,0.7741837869898154
x194,x216,0.7738187651822929
x192,x203,0.7737100050900132
x035,x036,0.7736446120611478
x135,x139,0.77307443752846
x120,x135,0.7728020101468888
x117,x143,0.772688821443151
x211,x215,0.7726318442407949
x181,x186,0.7717927178401234
x131,x143,0.7713511179101914
x121,x128,0.7711115534790081
x195,x211,0.770257247664304
x120,x195,0.7700731335174816
x129,x136,0.7698267343795381
x194,x213,0.76941646834769
x211,x216,0.7679623399769266
x196,x211,0.7677965248588976
x268,x297,0.7676499406808297
x120,x194,0.767399067120506
x144,x214,0.7672328236060276
x127,x213,0.766913106168053
x142,x213,0.7662944526803397
x110,x140,0.7662584087581571
x196,x219,0.7643316449111363
x119,x204,0.7641689947356768
x136,x139,0.7629124093665112
x121,x136,0.7624169347633339
x204,x210,0.7621531650453991
x204,x209,0.7619480320250245
x137,x203,0.7618969420095457
x134,x208,0.7614372012594239
x195,x210,0.7610818404951021
x118,x140,0.7607955622720088
x059,x075,0.7604688059288992
x126,x200,0.7603701153182709
x192,x217,0.760238077176858
x139,x217,0.7600957839523215
x119,x134,0.7600151836709305
x110,x135,0.7598237357948404
x111,x128,0.7597287528791438
x186,x215,0.759398162959227
x210,x215,0.7583959976767722
x138,x146,0.7575013960305461
x131,x135,0.7566502307316666
x143,x202,0.7561678832747328
x130,x134,0.7555145460702068
x137,x192,0.7551801670583951
x118,x131,0.7548685525354347
x129,x212,0.7546542678071958
x128,x133,0.7541875312655416
x203,x219,0.7540568128257734
x144,x217,0.7539047972382072
x008,x231,0.7536101460755532
x144,x219,0.7534922766288138
x139,x212,0.7529952787288832
x129,x194,0.752983991588228
x127,x144,0.7529023288995046
x117,x203,0.7528574640396337
x003,x238,0.7528446085617692
x113,x190,0.75278229204887
x265,x266,0.7524574832527604
x185,x206,0.7521768069514133
x129,x217,0.7509610466466293
x111,x136,0.7508909583476319
x119,x137,0.7508125358312634
x144,x204,0.7505658569411786
x117,x129,0.7501673485275497
x119,x193,0.7499155122033043
x120,x143,0.7497395727762262
x194,x209,0.7491579888689981
x041,x242,0.7488631375620489
x121,x195,0.748626164609155
x210,x214,0.7482884062262432
x110,x121,0.7481902860894771
x130,x204,0.7464907552213893
x130,x205,0.7459260875646142
x110,x111,0.7456017877694802
x140,x214,0.7455627559682829
x119,x135,0.7454590210036754
x139,x213,0.7452017129253595
x142,x218,0.7450281276063818
x140,x215,0.7446237199507505
x121,x138,0.7443473118436233
x186,x220,0.7442293042756881
x202,x208,0.7439952355609147
x129,x213,0.7437601117899094
x065,x075,0.7430000343778204
x266,x268,0.7429741542667906
x002,x005,0.742963353262286
x193,x217,0.7426703752243483
x137,x140,0.7422172027722824
x111,x195,0.7421920293015976
x125,x201,0.741885751042372
x185,x216,0.7409077044280817
x130,x214,0.7409001259542644
x135,x141,0.7408156420965856
x127,x193,0.7406273159771398
x129,x203,0.7404864735646872
x194,x210,0.740267940178091
x128,x146,0.7402281084900654
x130,x215,0.7396866072909428
x209,x214,0.7382357328951108
x121,x196,0.7379637462713854
x119,x195,0.7379480321862493
x138,x193,0.7378868252806279
x140,x142,0.7373736109109991
x142,x203,0.737277445470951
x192,x278,0.737246876168081
x130,x137,0.7371985400189477
x139,x219,0.7371355968764742
x204,x211,0.7360750605930818
x115,x188,0.7360585801701012
x134,x140,0.7360563842068375
x118,x194,0.7358679884211764
x111,x196,0.7358095286307862
x119,x136,0.7357729896880398
x110,x120,0.735685650793514
x199,x201,0.7355367615056962
x140,x204,0.735033807674747
x208,x210,0.7347913673954595
x034,x040,0.7347700432158806
x297,x304,0.7339803049744077
x133,x138,0.7338525923153034
x194,x218,0.7337286306134803
x140,x205,0.7335149739418718
x115,x166,0.7331395464634923
x127,x130,0.732979878679575
x111,x138,0.7329180269814626
x110,x134,0.7328691533990661
x119,x214,0.7321630837217095
x121,x194,0.7317191909925956
x031,x034,0.7316162972199851
x296,x303,0.731604581579411
x115,x167,0.7303650800662673
x193,x195,0.7301211816273213
x003,x004,0.7300306123692513
x128,x192,0.7295876808660245
x120,x134,0.7290405049303235
x120,x204,0.7288136300939482
x118,x141,0.7283573223639733
x118,x133,0.7282957425246209
x020,x021,0.7281355698460689
x114,x165,0.7279421588192422
x119,x203,0.7272732275313546
x267,x268,0.7271593941863529
x194,x221,0.7269641203774085
x073,x075,0.726928364575364
x193,x214,0.7266982634526548
x137,x218,0.7265349824902547
x129,x219,0.7263372033321899
x145,x215,0.7256211495686894
x120,x205,0.725336945605142
x144,x213,0.7252119218022718
x235,x236,0.7251865061724201
x106,x181,0.7251642285729683
x185,x196,0.7247665259110779
x121,x135,0.7245141220466559
x144,x212,0.7244255864718239
x211,x214,0.7242981482806287
x130,x142,0.7241021288599471
x130,x210,0.7239273584804942
x141,x215,0.7238131348338468
x110,x129,0.7237688574217438
x131,x205,0.7234963788604291
x004,x238,0.7231976042923887
x127,x140,0.7230163773624797
x111,x194,0.7228373906335439
x117,x120,0.7228239113159058
x133,x210,0.7223720095820539
x139,x203,0.7222975877833253
x130,x195,0.7216681454393638
x120,x196,0.7212796151538584
x193,x208,0.7204019704507769
x110,x139,0.7200672097282931
x203,x208,0.7200573864089607
x145,x214,0.7197315332008074
x119,x142,0.7195692237857346
x213,x215,0.7193356818670207
x129,x209,0.7185308634128079
x131,x215,0.7184304700090359
x144,x218,0.7184258456799382
x225,x236,0.7181117643627631
x139,x194,0.7178620524052053
x117,x139,0.7176104395003834
x119,x212,0.7174341033166225
x017,x020,0.7174333897134414
x021,x225,0.7173800629417882
x127,x133,0.7173164914553815
x014,x015,0.7167257418261734
x121,x143,0.7167035272280505
x118,x218,0.7164867912601552
x118,x145,0.716412119261486
x202,x218,0.716341641653569
x125,x199,0.7161950824122809
x005,x237,0.7153284508423468
x014,x017,0.714936730307349
x114,x166,0.7147013002020416
x129,x202,0.7146759833140784
x015,x030,0.7146443820419011
x116,x167,0.7145408413304494
x135,x208,0.7144422362650931
x186,x194,0.7143599561541354
x208,x212,0.714066188279695
x194,x211,0.7140084007657195
x205,x213,0.7138981787852364
x130,x194,0.7136152411690688
x203,x205,0.7134677597686713
x128,x134,0.7134493601091206
x115,x165,0.7129145157147105
x015,x016,0.7127570146443662
x120,x127,0.7126649336518112
x141,x205,0.7125009741531211
x117,x213,0.7123888177765362
x215,x218,0.7117927063503794
x141,x214,0.7117821023061084
x192,x208,0.7116934452017405
x111,x135,0.711200885893518
x142,x145,0.7104468329969954
x131,x206,0.7102571350597844
x131,x204,0.7102163909372856
x141,x216,0.710119652420313
x129,x205,0.7097259758196082
x139,x215,0.7091794471084264
x145,x219,0.7090597294535698
x206,x210,0.7082906124646389
x145,x220,0.7081663926925141
x020,x224,0.7079969039743425
x128,x204,0.7079788033865452
x139,x218,0.707887829843645
x145,x205,0.7077622087577453
x119,x202,0.7076850468297174
x140,x217,0.7071885565218778
x195,x203,0.7068241053540969
x111,x143,0.7067947952846243
x128,x135,0.7065503067002751
x131,x134,0.706460577508028
x116,x166,0.7058823472079995
x140,x210,0.7057674974421472
x121,x205,0.7054586253513365
x127,x218,0.7052207345512405
x131,x214,0.705113366742373
x131,x216,0.7050921636986324
x129,x215,0.7043749048904979
x145,x204,0.7042189168846128
x106,x121,0.7036422351727766
x181,x196,0.703244244821952
x134,x138,0.7031765721678729
x133,x137,0.7031360267783412
x120,x210,0.7030942149918343
x119,x213,0.7030655935124441
x119,x209,0.7029025910983128
x188,x191,0.7026832623941989
x135,x138,0.7026698321010039
x138,x214,0.7024928940567201
x118,x278,0.7021280537312731
x141,x204,0.7021256147648439
x114,x167,0.7020891685676305
x140,x213,0.7019990753948759
x139,x209,0.7019411714795719
x140,x219,0.7017476334421139
x106,x111,0.7017390796154285
x137,x141,0.7016159556806535
x130,x213,0.7010237184365686
x129,x210,0.7001124349887815
x120,x214,0.7000965715890034
x131,x195,0.6999692656068707
x120,x193,0.6999104683892613
x128,x136,0.6998418607807365
x106,x120,0.6997916658168181
x203,x215,0.6992284643855484
x139,x205,0.6991617830477416
x111,x205,0.6991329616131455
x136,x208,0.6991308084514316
x137,x145,0.6989036520959903
x129,x218,0.6988002380182371
x016,x285,0.6985688112072652
x141,x206,0.6984697872533207
x119,x217,0.6983630080492216
x120,x215,0.6982947286120744
x143,x193,0.6979948278637854
x203,x209,0.6974736887902676
x130,x217,0.6973747481229371
x138,x204,0.6966682241322081
x146,x215,0.6964971975323938
x110,x146,0.696402429465661
x136,x138,0.6962354648328475
x144,x203,0.6958322822297887
x196,x210,0.695534614426621
x185,x221,0.6954682008036048
x205,x218,0.6954263927459167
x121,x204,0.6953864163738228
x144,x215,0.6953696451673727
x130,x211,0.6951502240807479
x128,x214,0.6947412435239226
x120,x137,0.6945990096311445
x130,x203,0.6944854058748872
x137,x193,0.6944350710295196
x106,x136,0.6943900506854888
x218,x220,0.6941626270352579
x141,x142,0.694120415180468
x192,x213,0.6939119685215583
x130,x212,0.6937629064924642
x140,x212,0.69368796346976
x139,x202,0.6934798398304818
x142,x192,0.6931599241940913
x116,x188,0.6930951940587206
x063,x065,0.6930504238496358
x121,x206,0.6929360803090979
x185,x205,0.6925580780085929
x131,x137,0.6924708597512561
x146,x216,0.6923339599309267
x130,x206,0.6920943541373218
x140,x216,0.6919159700871378
x030,x224,0.691024322571538
x210,x216,0.6909984297275709
x111,x206,0.6906850309051613
x110,x145,0.6904713883880402
x131,x196,0.6903231855914898
x140,x220,0.6901421139499369
x130,x219,0.6900985483749907
x129,x193,0.6898551102322151
x129,x195,0.6895380194038679
x140,x195,0.689398907964716
x119,x205,0.6893880056668793
x139,x210,0.6887128340865039
x127,x131,0.688672158134804
x144,x194,0.6878490749037021
x143,x214,0.6877610424384227
x117,x133,0.6874787733778293
x130,x216,0.6873347223656388
x146,x220,0.6871672273908583
x134,x141,0.686922593243479
x128,x208,0.6866579960816747
x111,x204,0.6866105606527592
x110,x210,0.6865292798434046
x110,x119,0.686387403246168
x118,x204,0.6862213450525183
x117,x130,0.6860327166995415
x185,x211,0.6856771116037611
x110,x211,0.6856322245667823
x128,x194,0.685054850505093
x186,x204,0.6849390408908219
x130,x209,0.6845613357716637
x131,x211,0.6842525897058499
x127,x141,0.6840713821810277
x120,x203,0.6837905667350043
x118,x208,0.6834535492039688
x113,x191,0.6831172447249286
x118,x134,0.6823316087562289
x140,x194,0.6817579660881786
x145,x216,0.6815898668408931
x208,x211,0.6810970641078158
x121,x134,0.6810539289178218
x140,x206,0.6807780781551238
x119,x210,0.6805493676953904
x015,x024,0.6805165212254368
x117,x144,0.6804817231802157
x195,x213,0.6804050255247903
x121,x215,0.6800451161672354
x146,x221,0.6797629702400573
x145,x217,0.6796946649418463
x189,x199,0.679675174332715
x064,x075,0.6796013377254435
x133,x212,0.6795843690319802
x140,x211,0.6794866030799716
x185,x215,0.6792827749504929
x140,x203,0.6792185063769373
x146,x205,0.6792064266327652
x131,x194,0.6791642490622237
x130,x220,0.6789277777001321
x146,x214,0.6789199907449178
x141,x220,0.6787484025838595
x119,x192,0.678355976392389
x138,x192,0.6782704403760533
x043,x236,0.6782437786738458
x119,x196,0.6782359749448411
x144,x205,0.6780209782953238
x117,x121,0.6776837399473983
x114,x164,0.6774148446599548
x131,x210,0.6773488210389343
x209,x213,0.6773121355079504
x131,x142,0.6771373701945821
x116,x165,0.6767796572565952
x120,x211,0.6767635107751876
x118,x146,0.6765886992028595
x030,x225,0.6764155364344819
x193,x209,0.6760752096403478
x127,x145,0.6759377582906374
x193,x219,0.6755935808385648
x120,x206,0.6749917025883643
x119,x219,0.6746851235768131
x146,x206,0.6746697075581701
x208,x213,0.6743156659153186
x106,x119,0.6742876955348432
x213,x220,0.6741337614442297
x141,x219,0.6741181291839613
x193,x205,0.6740365721659334
x130,x196,0.6739736244629083
x143,x204,0.6738746525636828
x205,x209,0.6738359889956838
x111,x215,0.673758426091982
x117,x277,0.6734748296687244
x146,x219,0.6730548482445442
x204,x212,0.6719131492204892
x120,x142,0.6718490484675366
x143,x219,0.6716382939473211
x145,x213,0.6709494217361088
x195,x209,0.6707233118485538
x118,x135,0.6706183006310089
x120,x209,0.6706023471402812
x133,x211,0.6705348073316487
x014,x020,0.6704588729197665
x141,x213,0.6702507211159313
x185,x195,0.6700702343238866
x020,x225,0.6700073800107025
x141,x195,0.6699892695113939
x144,x220,0.669716841150412
x121,x127,0.669504976989265
x110,x209,0.6693687181883903
x021,x030,0.6689595405428406
x121,x214,0.6682948835150125
x033,x035,0.6682404126047014
x127,x208,0.6682251696095414
x111,x134,0.6679867738030029
x121,x216,0.6678437629092795
x140,x218,0.6676471268137559
x141,x211,0.6673043076446938
x011,x015,0.6672889951804326
x106,x135,0.6671854411810569
x131,x220,0.6669094553140651
x192,x194,0.6668527813890489
x133,x202,0.6665901688399238
x145,x218,0.6662353446206206
x131,x213,0.6657585430262293
x120,x213,0.6656860949446289
x121,x211,0.6656079645136036
x111,x117,0.66549458464824
x111,x216,0.6654230459851346
x141,x217,0.6650685655968658
x194,x202,0.6650032358323286
x146,x204,0.6648157135155373
x129,x133,0.6647357247008319
x117,x208,0.664544646336312
x118,x136,0.6641514688597154
x203,x210,0.6640287822439459
x145,x206,0.6640001887381672
x065,x072,0.6639717851046126
x121,x193,0.6638806621627478
x041,y,0.6638720590969339
x141,x221,0.6636972309704487
x268,x289,0.6633843682612695
x073,x074,0.6633400791054395
x119,x215,0.6630757221676723
x214,x217,0.6629072239676771
x106,x278,0.6623864057302408
x140,x209,0.6623440300484746
x129,x211,0.6616632414223435
x120,x212,0.6616546252833139
x212,x214,0.6616236777022843
x265,x289,0.6614197442522662
x145,x221,0.6608567227441011
x181,x195,0.6607805968931297
x131,x219,0.6602263417930592
x065,x066,0.6601220377356326
x141,x196,0.660039855923945
x117,x140,0.6599294303036269
x059,x063,0.6598819632343179
x118,x195,0.6595719266310244
x144,x202,0.6595012877314718
x111,x214,0.6594208241315739
x131,x203,0.6593545710907791
x117,x194,0.6591021288818928
x141,x210,0.6588830598343927
x130,x218,0.6588480626464833
x127,x134,0.6588352076043401
x030,x226,0.658606299278443
x145,x195,0.6584939422799705
x113,x164,0.658488920776002
x059,x066,0.658434402749669
x121,x210,0.658391987804557
x186,x214,0.6581516562345054
x139,x195,0.6581215686241118
x193,x196,0.6579150039113061
x138,x219,0.6577235124652677
